Nodo_ID,Lat_Nodo,Lng_Nodo,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
33.91_-118.26,33.91,-118.26,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,4,0,8,2,0,0,0,2,2,1,0,2,0,0,1,1,3,1,0,1,0,2,1,0,1,2,2,2,0
33.91_-118.27,33.91,-118.27,2,1,1,5,3,7,3,5,6,2,1,2,2,3,1,4,3,1,6,1,1,4,1,4,2,7,2,1,5,2,3,2,11,2,1,0,2,3,4,2,0,1,5,5,4,2,4,6,4,3,2,5,0,3,1,6,7,10,11,7,1,2,1,4,2,4,5,5,3,1,5,1,4,5,2,6,6,6,12,2,5,12,11,3,0
33.91_-118.28,33.91,-118.28,0,0,0,2,0,0,3,0,1,2,2,1,1,2,1,0,2,1,0,0,0,0,0,2,0,0,0,2,0,3,1,4,1,0,1,0,0,1,0,2,2,1,1,2,0,2,2,4,0,4,1,5,1,1,1,4,3,6,3,7,0,1,0,1,0,0,0,0,1,2,0,2,3,3,1,4,3,1,0,0,3,6,0,1,1
33.92_-118.23,33.92,-118.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,3,0,0
33.92_-118.24,33.92,-118.24,0,2,0,1,0,2,1,0,3,1,1,4,1,1,0,0,0,2,4,0,1,0,2,2,0,0,2,0,1,1,1,2,1,0,5,1,0,1,0,1,0,1,2,3,0,1,1,1,1,3,0,0,2,1,1,1,10,8,3,5,1,0,0,1,1,1,1,0,0,0,2,2,3,6,2,2,1,2,4,0,2,1,5,3,1
33.92_-118.25,33.92,-118.25,0,0,3,2,3,1,2,5,1,4,1,3,3,0,2,3,0,1,4,1,1,0,1,0,0,2,1,2,1,2,0,1,1,0,0,2,2,2,2,0,2,2,2,3,4,2,1,2,1,2,1,1,0,1,4,2,10,6,11,7,7,5,3,10,3,6,1,7,5,4,2,10,4,9,3,3,10,8,6,0,2,6,6,3,3
33.92_-118.26,33.92,-118.26,0,2,1,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,4,1,0,1,0,0,0,0,1,1,1,1,4,2,3,3,1,2,1,0,3,1,0,1,4,3,1,0,4,0,0,0,4,1,1,8,7,3,16,0,1,2,9,2,2,1,5,2,0,7,3,1,2,0
33.92_-118.27,33.92,-118.27,1,8,5,7,5,8,1,7,7,8,3,4,7,5,4,7,6,9,10,0,2,3,7,4,5,13,4,3,6,15,7,13,6,2,4,6,0,13,4,4,3,8,15,13,8,14,10,12,21,11,4,12,2,4,3,9,13,11,10,6,5,3,1,14,18,9,35,4,18,22,8,8,8,23,6,15,4,11,11,1,5,9,16,7,4
33.92_-118.28,33.92,-118.28,1,3,6,10,6,7,1,3,8,2,5,5,2,7,4,6,0,1,3,5,7,2,4,1,3,3,4,4,6,4,6,2,7,7,5,3,4,3,4,1,4,2,12,8,4,4,7,12,17,15,12,9,2,0,3,16,13,21,13,7,11,3,2,13,13,7,6,5,3,17,10,15,8,11,20,11,4,0,18,6,8,19,11,8,5
33.92_-118.29,33.92,-118.29,0,8,4,9,5,8,8,9,13,6,6,5,11,11,4,8,4,2,6,6,5,7,9,5,9,12,7,6,4,11,9,7,8,5,1,3,5,4,3,2,6,7,11,17,2,17,12,11,17,10,6,8,2,1,1,5,15,9,5,10,1,0,2,2,2,7,7,3,8,10,3,5,4,9,1,4,6,5,10,3,6,5,5,6,5
33.92_-118.3,33.92,-118.3,1,5,4,0,3,2,3,1,4,2,1,2,1,3,3,1,1,3,3,1,2,0,0,4,2,0,5,1,3,2,3,3,3,1,3,2,4,2,2,1,2,1,2,0,0,6,1,3,1,1,2,2,0,0,0,3,6,16,4,4,1,1,2,3,3,0,4,1,0,0,5,2,9,5,2,1,6,3,6,4,2,3,1,2,7
33.92_-118.31,33.92,-118.31,0,3,1,2,3,3,4,1,3,3,4,0,0,0,2,3,3,5,5,0,1,1,1,2,1,2,5,3,0,3,4,6,4,2,3,4,0,3,2,1,1,4,3,2,2,4,3,4,3,1,3,0,0,0,1,1,2,1,0,1,0,1,2,2,4,0,2,3,9,6,1,0,7,3,1,0,0,3,2,1,0,8,1,0,1
33.93_-118.23,33.93,-118.23,2,4,7,5,7,3,4,5,2,6,6,7,6,6,3,3,3,1,3,5,3,6,3,4,5,5,5,4,7,4,4,4,3,3,5,5,5,1,2,3,2,3,10,14,8,19,11,18,12,12,10,13,3,1,4,9,15,12,14,9,7,7,0,19,5,7,8,5,19,4,8,8,8,16,12,6,11,6,8,6,9,11,21,3,3
33.93_-118.24,33.93,-118.24,5,12,22,15,12,15,8,14,17,14,16,7,14,12,12,9,8,8,7,14,18,4,13,8,14,9,12,11,14,10,11,8,8,10,10,10,6,13,6,2,5,7,25,23,19,29,29,21,29,30,12,13,7,6,18,44,36,30,27,25,20,8,14,17,11,13,8,3,3,32,12,23,13,27,9,12,16,13,10,6,14,16,21,11,3
33.93_-118.25,33.93,-118.25,8,19,12,15,11,13,10,16,20,17,14,9,10,12,15,10,15,10,14,13,9,13,7,11,9,9,10,11,18,12,11,6,13,8,18,13,11,16,17,15,7,18,36,24,24,37,25,20,20,25,32,21,7,4,11,9,34,37,29,33,12,12,19,16,13,21,32,14,20,9,7,48,14,22,19,8,14,17,17,5,16,21,15,12,4
33.93_-118.26,33.93,-118.26,1,2,4,2,3,3,6,5,0,1,1,1,4,2,3,2,4,2,5,3,0,2,4,1,2,4,1,2,3,3,3,2,1,2,5,0,4,0,2,1,1,1,3,5,0,1,1,3,1,3,8,2,1,1,2,2,5,8,14,0,2,4,7,13,9,13,11,52,14,9,7,21,10,19,15,9,12,7,11,12,18,8,4,7,4
